"","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","elevation"
"203","ECU.22.5_1","ECU","Ecuador","ECU.22_1","Sucumbios","NA","Putumayo","NA","NA","Canton","Canton","2103","EC.SU.PU",258.47343373247
"204","ECU.22.6_1","ECU","Ecuador","ECU.22_1","Sucumbios","NA","Shushufindi","NA","NA","Canton","Canton","2104","EC.SU.SH",263.685196888197
"205","ECU.22.7_1","ECU","Ecuador","ECU.22_1","Sucumbios","NA","Sucumbíos","NA","NA","Canton","Canton","2105","EC.SU.SU",2482.52705409521
"206","ECU.23.1_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Ambato","NA","NA","Canton","Canton","1801","EC.TU.AM",3540.5288897001
"207","ECU.23.2_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Baños de Agua Santa","NA","NA","Canton","Canton","1802","EC.TU.BA",3276.43140155345
"208","ECU.23.3_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Cevallos","NA","NA","Canton","Canton","1803","EC.TU.CE",2878.59960451295
"209","ECU.23.4_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Mocha","NA","NA","Canton","Canton","1804","EC.TU.MO",3568.13714238896
"210","ECU.23.5_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Patate","NA","NA","Canton","Canton","1805","EC.TU.PA",3248.26987958547
"211","ECU.23.6_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Quero","NA","NA","Canton","Canton","1806","EC.TU.QU",3512.7646711971
"212","ECU.23.7_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","San Pedro de Pelileo","Pelileo","NA","Canton","Canton","1807","EC.TU.PE",2752.31118745802
"213","ECU.23.8_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Santiago de Pillaro","NA","NA","Canton","Canton","1808","EC.TU.PI",3542.11672398892
"214","ECU.23.9_1","ECU","Ecuador","ECU.23_1","Tungurahua","NA","Tisaleo","NA","NA","Canton","Canton","1809","EC.TU.TI",3397.79990970852
"215","ECU.24.1_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Centinela del Cóndor","NA","NA","Canton","Canton","1907","EC.ZC.CC",1210.94820324866
"216","ECU.24.2_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Chinchipe","NA","NA","Canton","Canton","1902","EC.ZC.CH",1843.60224235489
"217","ECU.24.3_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","El Pangui","NA","NA","Canton","Canton","1906","EC.ZC.EP",1111.91939336024
"218","ECU.24.4_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Nangaritza","NA","NA","Canton","Canton","1903","EC.ZC.NA",1558.95688399216
"219","ECU.24.5_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Palanda","NA","NA","Canton","Canton","1908","EC.ZC.PA",2156.3015009089
"220","ECU.24.6_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Paquisha","NA","NA","Canton","Canton","1909","NA",1539.44539754402
"221","ECU.24.7_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Yacuambi","NA","NA","Canton","Canton","1904","EC.ZC.YC",2173.69340074338
"222","ECU.24.8_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Yantzaza","NA","NA","Canton","Canton","1905","EC.ZC.YN",1318.04647792265
"223","ECU.24.9_1","ECU","Ecuador","ECU.24_1","Zamora Chinchipe","NA","Zamora","NA","NA","Canton","Canton","1901","EC.ZC.ZA",1977.38909522504
